model,language,lang_code,category,accuracy,n
aya-vision-8b,English,en,math,16.25,400
aya-vision-8b,English,en,science,75.0,400
aya-vision-8b,English,en,stem,26.11,180
aya-vision-8b,Hindi,hi,math,14.75,400
aya-vision-8b,Hindi,hi,science,59.25,400
aya-vision-8b,Hindi,hi,stem,18.33,180
aya-vision-8b,Marathi,mr,math,8.0,400
aya-vision-8b,Marathi,mr,science,46.0,400
aya-vision-8b,Marathi,mr,stem,16.67,180
aya-vision-8b,Bengali,bn,math,6.75,400
aya-vision-8b,Bengali,bn,science,40.75,400
aya-vision-8b,Bengali,bn,stem,12.78,180
aya-vision-8b,Tamil,ta,math,5.25,400
aya-vision-8b,Tamil,ta,science,26.0,400
aya-vision-8b,Tamil,ta,stem,11.67,180
aya-vision-8b,Telugu,te,math,3.0,400
aya-vision-8b,Telugu,te,science,21.0,400
aya-vision-8b,Telugu,te,stem,10.0,180
aya-vision-8b,Kannada,kn,math,4.0,400
aya-vision-8b,Kannada,kn,science,26.75,400
aya-vision-8b,Kannada,kn,stem,8.89,180
gemma3-27b,English,en,math,41.5,400
gemma3-27b,English,en,science,70.75,400
gemma3-27b,English,en,stem,32.78,180
gemma3-27b,Hindi,hi,math,19.5,400
gemma3-27b,Hindi,hi,science,71.75,400
gemma3-27b,Hindi,hi,stem,26.11,180
gemma3-27b,Marathi,mr,math,16.0,400
gemma3-27b,Marathi,mr,science,76.0,400
gemma3-27b,Marathi,mr,stem,25.56,180
gemma3-27b,Bengali,bn,math,14.5,400
gemma3-27b,Bengali,bn,science,75.0,400
gemma3-27b,Bengali,bn,stem,29.44,180
gemma3-27b,Tamil,ta,math,17.25,400
gemma3-27b,Tamil,ta,science,71.5,400
gemma3-27b,Tamil,ta,stem,31.11,180
gemma3-27b,Telugu,te,math,19.5,400
gemma3-27b,Telugu,te,science,73.25,400
gemma3-27b,Telugu,te,stem,25.56,180
gemma3-27b,Kannada,kn,math,16.25,400
gemma3-27b,Kannada,kn,science,73.0,400
gemma3-27b,Kannada,kn,stem,26.67,180
gpt-4o,English,en,math,38.25,400
gpt-4o,English,en,science,78.0,400
gpt-4o,English,en,stem,38.33,180
gpt-4o,Hindi,hi,math,20.75,400
gpt-4o,Hindi,hi,science,73.25,400
gpt-4o,Hindi,hi,stem,33.89,180
gpt-4o,Marathi,mr,math,23.5,400
gpt-4o,Marathi,mr,science,70.75,400
gpt-4o,Marathi,mr,stem,25.56,180
gpt-4o,Bengali,bn,math,21.75,400
gpt-4o,Bengali,bn,science,74.0,400
gpt-4o,Bengali,bn,stem,29.44,180
gpt-4o,Tamil,ta,math,19.5,400
gpt-4o,Tamil,ta,science,65.25,400
gpt-4o,Tamil,ta,stem,32.22,180
gpt-4o,Telugu,te,math,19.5,400
gpt-4o,Telugu,te,science,70.25,400
gpt-4o,Telugu,te,stem,34.44,180
gpt-4o,Kannada,kn,math,21.0,400
gpt-4o,Kannada,kn,science,72.25,400
gpt-4o,Kannada,kn,stem,30.56,180
internvl2.5-8b,English,en,math,11.0,400
internvl2.5-8b,English,en,science,87.5,400
internvl2.5-8b,English,en,stem,29.44,180
internvl2.5-8b,Hindi,hi,math,5.5,400
internvl2.5-8b,Hindi,hi,science,59.0,400
internvl2.5-8b,Hindi,hi,stem,18.89,180
internvl2.5-8b,Marathi,mr,math,4.0,400
internvl2.5-8b,Marathi,mr,science,56.0,400
internvl2.5-8b,Marathi,mr,stem,18.33,180
internvl2.5-8b,Bengali,bn,math,2.5,400
internvl2.5-8b,Bengali,bn,science,52.0,400
internvl2.5-8b,Bengali,bn,stem,14.44,180
internvl2.5-8b,Tamil,ta,math,1.5,400
internvl2.5-8b,Tamil,ta,science,44.75,400
internvl2.5-8b,Tamil,ta,stem,18.89,180
internvl2.5-8b,Telugu,te,math,2.25,400
internvl2.5-8b,Telugu,te,science,44.75,400
internvl2.5-8b,Telugu,te,stem,20.0,180
internvl2.5-8b,Kannada,kn,math,1.75,400
internvl2.5-8b,Kannada,kn,science,48.0,400
internvl2.5-8b,Kannada,kn,stem,17.78,180
llama4-maverick,English,en,math,42.25,400
llama4-maverick,English,en,science,75.0,400
llama4-maverick,English,en,stem,41.11,180
llama4-maverick,Hindi,hi,math,30.5,400
llama4-maverick,Hindi,hi,science,63.0,400
llama4-maverick,Hindi,hi,stem,28.33,180
llama4-maverick,Marathi,mr,math,26.25,400
llama4-maverick,Marathi,mr,science,62.5,400
llama4-maverick,Marathi,mr,stem,31.11,180
llama4-maverick,Bengali,bn,math,28.5,400
llama4-maverick,Bengali,bn,science,62.75,400
llama4-maverick,Bengali,bn,stem,29.44,180
llama4-maverick,Tamil,ta,math,22.0,400
llama4-maverick,Tamil,ta,science,51.5,400
llama4-maverick,Tamil,ta,stem,26.67,180
llama4-maverick,Telugu,te,math,25.75,400
llama4-maverick,Telugu,te,science,57.0,400
llama4-maverick,Telugu,te,stem,26.11,180
llama4-maverick,Kannada,kn,math,29.0,400
llama4-maverick,Kannada,kn,science,59.0,400
llama4-maverick,Kannada,kn,stem,31.11,180
qwen2.5-vl-32b,English,en,math,22.75,400
qwen2.5-vl-32b,English,en,science,85.5,400
qwen2.5-vl-32b,English,en,stem,33.33,180
qwen2.5-vl-32b,Hindi,hi,math,5.0,400
qwen2.5-vl-32b,Hindi,hi,science,69.25,400
qwen2.5-vl-32b,Hindi,hi,stem,20.56,180
qwen2.5-vl-32b,Marathi,mr,math,14.75,400
qwen2.5-vl-32b,Marathi,mr,science,64.25,400
qwen2.5-vl-32b,Marathi,mr,stem,18.33,180
qwen2.5-vl-32b,Bengali,bn,math,16.5,400
qwen2.5-vl-32b,Bengali,bn,science,71.0,400
qwen2.5-vl-32b,Bengali,bn,stem,18.33,180
qwen2.5-vl-32b,Tamil,ta,math,15.5,400
qwen2.5-vl-32b,Tamil,ta,science,54.75,400
qwen2.5-vl-32b,Tamil,ta,stem,30.0,180
qwen2.5-vl-32b,Telugu,te,math,4.75,400
qwen2.5-vl-32b,Telugu,te,science,63.25,400
qwen2.5-vl-32b,Telugu,te,stem,29.44,180
qwen2.5-vl-32b,Kannada,kn,math,19.0,400
qwen2.5-vl-32b,Kannada,kn,science,51.0,400
qwen2.5-vl-32b,Kannada,kn,stem,21.67,180
qwen2.5-vl-7b,English,en,math,27.25,400
qwen2.5-vl-7b,English,en,science,82.5,400
qwen2.5-vl-7b,English,en,stem,35.56,180
qwen2.5-vl-7b,Hindi,hi,math,13.5,400
qwen2.5-vl-7b,Hindi,hi,science,61.0,400
qwen2.5-vl-7b,Hindi,hi,stem,20.56,180
qwen2.5-vl-7b,Marathi,mr,math,5.5,400
qwen2.5-vl-7b,Marathi,mr,science,57.0,400
qwen2.5-vl-7b,Marathi,mr,stem,24.44,180
qwen2.5-vl-7b,Bengali,bn,math,5.5,400
qwen2.5-vl-7b,Bengali,bn,science,62.25,400
qwen2.5-vl-7b,Bengali,bn,stem,27.22,180
qwen2.5-vl-7b,Tamil,ta,math,5.5,400
qwen2.5-vl-7b,Tamil,ta,science,55.5,400
qwen2.5-vl-7b,Tamil,ta,stem,20.56,180
qwen2.5-vl-7b,Telugu,te,math,2.0,400
qwen2.5-vl-7b,Telugu,te,science,55.0,400
qwen2.5-vl-7b,Telugu,te,stem,20.0,180
qwen2.5-vl-7b,Kannada,kn,math,8.75,400
qwen2.5-vl-7b,Kannada,kn,science,55.75,400
qwen2.5-vl-7b,Kannada,kn,stem,23.33,180
qwen2.5-vl-7b-cot,English,en,math,44.25,400
qwen2.5-vl-7b-cot,English,en,science,62.0,400
qwen2.5-vl-7b-cot,English,en,stem,33.33,180
qwen2.5-vl-7b-cot,Hindi,hi,math,20.0,400
qwen2.5-vl-7b-cot,Hindi,hi,science,35.75,400
qwen2.5-vl-7b-cot,Hindi,hi,stem,12.22,180
qwen2.5-vl-7b-cot,Marathi,mr,math,20.75,400
qwen2.5-vl-7b-cot,Marathi,mr,science,52.0,400
qwen2.5-vl-7b-cot,Marathi,mr,stem,19.44,180
qwen2.5-vl-7b-cot,Bengali,bn,math,11.25,400
qwen2.5-vl-7b-cot,Bengali,bn,science,28.0,400
qwen2.5-vl-7b-cot,Bengali,bn,stem,12.22,180
qwen2.5-vl-7b-cot,Tamil,ta,math,14.75,400
qwen2.5-vl-7b-cot,Tamil,ta,science,50.5,400
qwen2.5-vl-7b-cot,Tamil,ta,stem,16.67,180
qwen2.5-vl-7b-cot,Telugu,te,math,4.5,400
qwen2.5-vl-7b-cot,Telugu,te,science,41.0,400
qwen2.5-vl-7b-cot,Telugu,te,stem,22.78,180
qwen2.5-vl-7b-cot,Kannada,kn,math,18.0,400
qwen2.5-vl-7b-cot,Kannada,kn,science,21.25,400
qwen2.5-vl-7b-cot,Kannada,kn,stem,17.22,180
qwen2.5-vl-7b-no_image,English,en,math,12.75,400
qwen2.5-vl-7b-no_image,English,en,science,61.25,400
qwen2.5-vl-7b-no_image,English,en,stem,30.56,180
qwen2.5-vl-7b-no_image,Hindi,hi,math,2.75,400
qwen2.5-vl-7b-no_image,Hindi,hi,science,52.0,400
qwen2.5-vl-7b-no_image,Hindi,hi,stem,20.0,180
qwen2.5-vl-7b-no_image,Marathi,mr,math,3.0,400
qwen2.5-vl-7b-no_image,Marathi,mr,science,49.75,400
qwen2.5-vl-7b-no_image,Marathi,mr,stem,19.44,180
qwen2.5-vl-7b-no_image,Bengali,bn,math,3.0,400
qwen2.5-vl-7b-no_image,Bengali,bn,science,49.25,400
qwen2.5-vl-7b-no_image,Bengali,bn,stem,17.22,180
qwen2.5-vl-7b-no_image,Tamil,ta,math,3.5,400
qwen2.5-vl-7b-no_image,Tamil,ta,science,35.75,400
qwen2.5-vl-7b-no_image,Tamil,ta,stem,16.11,180
qwen2.5-vl-7b-no_image,Telugu,te,math,2.75,400
qwen2.5-vl-7b-no_image,Telugu,te,science,39.75,400
qwen2.5-vl-7b-no_image,Telugu,te,stem,18.33,180
qwen2.5-vl-7b-no_image,Kannada,kn,math,4.25,400
qwen2.5-vl-7b-no_image,Kannada,kn,science,44.5,400
qwen2.5-vl-7b-no_image,Kannada,kn,stem,20.56,180
qwen3-vl-30b,English,en,math,49.0,400
qwen3-vl-30b,English,en,science,89.75,400
qwen3-vl-30b,English,en,stem,45.0,180
qwen3-vl-30b,Hindi,hi,math,21.5,400
qwen3-vl-30b,Hindi,hi,science,76.75,400
qwen3-vl-30b,Hindi,hi,stem,21.67,180
qwen3-vl-30b,Marathi,mr,math,21.0,400
qwen3-vl-30b,Marathi,mr,science,57.75,400
qwen3-vl-30b,Marathi,mr,stem,21.67,180
qwen3-vl-30b,Bengali,bn,math,21.5,400
qwen3-vl-30b,Bengali,bn,science,73.5,400
qwen3-vl-30b,Bengali,bn,stem,24.44,180
qwen3-vl-30b,Tamil,ta,math,18.5,400
qwen3-vl-30b,Tamil,ta,science,70.25,400
qwen3-vl-30b,Tamil,ta,stem,26.67,180
qwen3-vl-30b,Telugu,te,math,17.5,400
qwen3-vl-30b,Telugu,te,science,63.25,400
qwen3-vl-30b,Telugu,te,stem,19.44,180
qwen3-vl-30b,Kannada,kn,math,18.25,400
qwen3-vl-30b,Kannada,kn,science,67.75,400
qwen3-vl-30b,Kannada,kn,stem,19.44,180
